number,borders,address,july,august,sept,links,rajon,country,difference
320296,с.Дзвінкове,"вул.Грушевського, 34, с.Дзвінкове, Васильківський р-н, Київська обл., 08620 (навчально-виховний комплекс, вестибюль)",221,219,282,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320296&prejim=1,Боярська міська громада,,27.6018099547511
320320,с.Перевіз,"вул.Центральна, 51, с.Перевіз, Васильківський р-н, Київська обл., 08620 (будинок культури, актовий зал)",99,99,121,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320320&prejim=1,Боярська міська громада,,22.2222222222222
740312,смт Десна – в/ч А1048: в/ч; в/ч А1317,"вул.Рибалка, 4, смт Десна, Козелецький р-н, Чернігівська обл., 17024 (будинок офіцерів, танцювальна зала, 1-й поверх)",330,363,414,!cm_core.cm_index?option=ext_dvk&pid100=74&pf5242=740312&prejim=1,Деснянська селищна громада,,25.4545454545455
510510,"с.Крижанівка – вул.Академіка Сахарова, вул.Астрономічна, вул.Бескоровайнова, вул.Варшавський проїзд, вул.Вишнева, вул.Віденська, вул.Ген.Бочарова, вул.Гонтаренко, вул.Дрезденська, вул.Лондонська, вул.Мадридська, вул.Миру, вул.Міланська, вул.Приморська, вул.Радісна, вул.Рижська, вул.Садова, вул.Совхозна, вул.Софіївська, вул.Талінська, вул.Терешкової, вул.Хельсинська, вул.Ювілейна, вул.Ярошевської, пров.ІV вул.Центральної, пров.ІІ вул.Центральної, пров.Лісовий, пров.Молодіжний, пров.Шкільний, ДОС-1, МК-25","пров.Шкільний, 1, с.Крижанівка, Лиманський р-н, Одеська обл., 67562 (Крижанівська школа, спортивна зала)",2545,2593,2863,!cm_core.cm_index?option=ext_dvk&pid100=51&pf5242=510510&prejim=1,Фонтанська сільська громада,,12.4950884086444
510512,"с.Фонтанка – вул.Айвазовського, вул.Б.Хмельницького, вул.Виноградна, вул.Вчительська, вул.Гагаріна, вул.Гоголя, вул.Горіхова, вул.Грецька, вул.Грушевського, вул.Дворянська, вул.Дерибасівська, вул.Дніпровська, вул.Запорізька, вул.Західна, вул.Зелена, вул.Ів.Франка, вул.Катерининська, вул.Кільцева, вул.Курортна, вул.Лісна, вул.Лугова, вул.Морська, вул.Набережна, вул.Новоселів, вул.Паркова, вул.Патріотична, вул.Педагогічна, вул.Перемоги, вул.Приморська, вул.Проїздна, вул.Рішельєвська, вул.Семенова: 1–34; вул.Січнева, вул.Спортивна, вул.Степна: 1–53; вул.Тіраспольська, вул.Чехова, вул.Шкільна, пров.Б.Хмельницького, пров.Вчительський, пров.Дерибасівський, пров.Дніпровський, пров.Ів.Франка, пров.Кап.Марінеско, пров.Квітковий, пров.Кільцевий, пров.Набережний, пров.Парковий, пров.Полтавський, пров.Потьомкіна, пров.Степний, пров.Травневий, пров.Уютний, пров.1-й Західний, пров.2-й Західний, пров.3-й Західний, ДБК ""Золоті ключі"", вул.Горіхова","вул.Степна, 4, с.Фонтанка, Лиманський р-н, Одеська обл., 67571 (сільська рада, фойє)",2671,2780,2969,!cm_core.cm_index?option=ext_dvk&pid100=51&pf5242=510512&prejim=1,Фонтанська сільська громада,,11.1568700861101
510516,с.Нова Дофінівка,"вул.Центральна, 6, с.Нова Дофінівка, Лиманський р-н, Одеська обл., 67572 (сільський клуб, актова зала)",1088,1202,1251,!cm_core.cm_index?option=ext_dvk&pid100=51&pf5242=510516&prejim=1,Фонтанська сільська громада,,14.9816176470588
460944,с.Поршна,"вул.Шевченка, 47А, с.Поршна, Пустомитівський р-н, Львівська обл., 81133 (народний дім, актовий зал)",451,455,523,!cm_core.cm_index?option=ext_dvk&pid100=46&pf5242=460944&prejim=1,Солонківська сільська громада,,15.9645232815965
460945,с.Підсадки,"вул.Довбуша, 3, с.Підсадки, Пустомитівський р-н, Львівська обл., 81133 (народний дім, актовий зал)",110,110,130,!cm_core.cm_index?option=ext_dvk&pid100=46&pf5242=460945&prejim=1,Солонківська сільська громада,,18.1818181818182
460688,"с.Глухівець, с.Суха Долина","вул.Центральна, 38, с.Суха Долина, Миколаївський р-н, Львівська обл., 81612 (народний дім, зала)",139,242,239,!cm_core.cm_index?option=ext_dvk&pid100=46&pf5242=460688&prejim=1,Тростянецька сільська громада,,71.9424460431655
320610,"с.Крюківщина – вул.Абрикосова, вул.Бакинська, вул.Балукова: 1–9; вул.Бориса Грінченка, вул.Бузкова, вул.Весняна, вул.Віденська, вул.Відродження, вул.Вірменська, вул.Г. Мальцева, вул.Грушева, вул.Грушевського, вул.Джерельна, вул.Дніпровська, вул.Дружби, вул.Єреванська, вул.Залізнична, вул.Заміська, вул.Затишна, вул.Захисна, вул.Зелена, вул.І.Франка, вул.Київська, вул.Козацька, вул.Космонавтів, вул.Котирло, вул.Кримська, вул.Ленінградська, вул.Лобановського, вул.Лютнева, вул.Миру, вул.Михайлівська, вул.Мічуріна, вул.Озерна, вул.П. Полуботка, вул.Павла Чубинського, вул.Панорамна, вул.Паркова, вул.Перемоги, вул.Пилипа Орлика, вул.Повітрофлотська, вул.Польова, вул.Привокзальна, вул.Приозерна, вул.Прорізна, вул.Ранкова, вул.Сагайдачного, вул.Світанкова, вул.Солов’їна, вул.Стрітенська, вул.Тіниста, вул.Я. Мудрого, пров.Балукова, пров.Воздвиженський, пров.Кірова, пров.Княжий","вул.Балукова, 10, с.Крюківщина, Києво-Святошинський р-н, Київська обл., 08136 (Крюківщинська сільська рада, фойє, 2-й поверх)",2128,2129,2441,!cm_core.cm_index?option=ext_dvk&pid100=32&pf5242=320610&prejim=1,Вишнева міська громада,,14.7086466165413
