image,total
2017-05-25_19_40,14
2017-05-25_19_45,13
2017-05-25_19_50,15
2017-05-25_19_55,14
2017-05-25_20_00,13
2017-05-25_20_05,15
2017-05-25_20_10,15
2017-05-25_20_15,13
2017-05-25_20_20,15
2017-05-25_20_25,15
2017-05-25_20_30,14
2017-05-25_20_35,13
2017-05-25_20_40,13
2017-05-25_20_45,14
2017-05-25_20_50,14
2017-05-25_20_55,14
2017-05-25_21_00,13
2017-05-25_21_05,13
2017-05-25_21_10,12
2017-05-25_21_15,12
2017-05-25_21_20,12
2017-05-25_21_25,13
2017-05-25_21_30,12
2017-05-25_21_35,12
2017-05-25_21_40,12
2017-05-25_21_45,12
2017-05-25_21_50,11
2017-05-25_21_55,12
2017-05-25_22_00,11
2017-05-25_22_05,11
2017-05-25_22_10,10
2017-05-25_22_15,10
2017-05-25_22_20,10
2017-05-25_22_25,10
2017-05-25_22_30,8
2017-05-25_22_35,8
2017-05-25_22_40,8
2017-05-25_22_45,6
2017-05-25_22_50,7
2017-05-25_22_55,7
2017-05-26_07_00,3
2017-05-26_07_05,3
2017-05-26_07_10,3
2017-05-26_07_15,3
2017-05-26_07_20,3
2017-05-26_07_25,3
2017-05-26_07_30,3
2017-05-26_07_35,3
2017-05-26_07_40,3
2017-05-26_07_45,3
2017-05-26_07_50,3
2017-05-26_07_55,3
2017-05-26_08_00,3
2017-05-26_08_05,3
2017-05-26_08_10,4
2017-05-26_08_15,4
2017-05-26_08_20,3
2017-05-26_08_25,3
2017-05-26_08_30,3
2017-05-26_08_35,3
2017-05-26_08_40,4
2017-05-26_08_45,3
2017-05-26_08_50,2
2017-05-26_08_55,2
2017-05-26_09_00,3
2017-05-26_09_05,2
2017-05-26_09_10,4
2017-05-26_09_15,6
2017-05-26_09_20,6
2017-05-26_09_25,8
2017-05-26_09_30,8
2017-05-26_09_35,9
2017-05-26_09_40,11
2017-05-26_09_45,9
2017-05-26_09_50,11
2017-05-26_09_55,14
2017-05-26_10_00,14
2017-05-26_10_05,15
2017-05-26_10_10,15
2017-05-26_10_15,16
2017-05-26_10_20,16
2017-05-26_10_25,16
2017-05-26_10_30,16
2017-05-26_10_35,16
2017-05-26_10_40,16
2017-05-26_10_45,16
2017-05-26_10_50,16
2017-05-26_10_55,16
2017-05-26_11_00,16
2017-05-26_11_05,16
2017-05-26_11_10,16
2017-05-26_11_15,13
2017-05-26_11_20,14
2017-05-26_11_25,15
2017-05-26_11_30,15
2017-05-26_11_35,15
2017-05-26_11_40,16
2017-05-26_11_45,16
2017-05-26_11_50,16
2017-05-26_11_55,15
2017-05-26_12_00,15
2017-05-26_12_05,15
2017-05-26_12_10,16
2017-05-26_12_15,15
2017-05-26_12_20,16
2017-05-26_12_25,16
2017-05-26_12_30,16
2017-05-26_12_35,15
2017-05-26_12_40,15
2017-05-26_12_45,16
2017-05-26_12_50,15
2017-05-26_12_55,16
2017-05-26_13_00,16
2017-05-26_13_05,16
2017-05-26_13_10,15
2017-05-26_13_15,16
2017-05-26_13_20,16
2017-05-26_13_25,16
2017-05-26_13_30,16
2017-05-26_13_35,16
2017-05-26_13_40,16
2017-05-26_13_45,16
2017-05-26_13_50,16
2017-05-26_13_55,16
2017-05-26_14_00,16
2017-05-26_14_05,16
2017-05-26_14_10,16
2017-05-26_14_15,16
2017-05-26_14_20,15
2017-05-26_14_25,16
2017-05-26_14_30,16
2017-05-26_14_35,15
2017-05-26_14_40,15
2017-05-26_14_45,15
2017-05-26_14_50,15
2017-05-26_14_55,15
2017-05-26_15_00,15
2017-05-26_15_05,15
2017-05-26_15_10,14
2017-05-26_15_15,13
2017-05-26_15_20,15
2017-05-26_15_25,15
2017-05-26_15_30,15
2017-05-26_15_35,14
2017-05-26_15_40,15
2017-05-26_15_45,15
2017-05-26_15_50,15
2017-05-26_15_55,15
2017-05-26_16_00,15
2017-05-26_16_05,16
2017-05-26_16_10,16
2017-05-26_16_15,15
2017-05-26_16_20,15
2017-05-26_16_25,14
2017-05-26_16_30,15
2017-05-26_16_35,15
2017-05-26_16_40,15
2017-05-26_16_45,13
2017-05-26_16_50,14
2017-05-26_16_55,15
2017-05-26_17_00,15
2017-05-26_17_05,15
2017-05-26_17_10,15
2017-05-26_17_15,15
2017-05-26_17_20,14
2017-05-26_17_25,15
2017-05-26_17_30,15
2017-05-26_17_35,15
2017-05-26_17_40,15
2017-05-26_17_45,15
2017-05-26_17_50,14
2017-05-26_17_55,14
2017-05-26_18_00,16
2017-05-26_18_05,16
2017-05-26_18_10,15
2017-05-26_18_15,15
2017-05-26_18_20,14
2017-05-26_18_25,14
2017-05-26_18_30,11
2017-05-26_18_35,13
2017-05-26_18_40,16
2017-05-26_18_45,16
2017-05-26_18_50,13
2017-05-26_18_55,15
2017-05-26_19_00,16
2017-05-26_19_05,16
2017-05-26_19_10,16
2017-05-26_19_15,16
2017-05-26_19_20,14
2017-05-26_19_25,13
2017-05-26_19_30,13
2017-05-26_19_35,13
2017-05-26_19_40,14
2017-05-26_19_45,15
2017-05-26_19_50,15
2017-05-26_19_55,15
2017-05-26_20_00,14
2017-05-26_20_05,15
2017-05-26_20_10,16
2017-05-26_20_15,16
2017-05-26_20_20,16
2017-05-26_20_25,15
2017-05-26_20_30,16
2017-05-26_20_35,16
2017-05-26_20_40,16
2017-05-26_20_45,14
2017-05-26_20_50,14
2017-05-26_20_55,16
2017-05-26_21_00,15
2017-05-26_21_05,14
2017-05-26_21_10,13
2017-05-26_21_15,13
2017-05-26_21_20,14
2017-05-26_21_25,13
2017-05-26_21_30,12
2017-05-26_21_35,12
2017-05-26_21_40,11
2017-05-26_21_45,11
2017-05-26_21_50,12
2017-05-26_21_55,11
2017-05-26_22_00,10
2017-05-26_22_05,8
2017-05-26_22_10,8
2017-05-26_22_15,8
2017-05-26_22_20,8
2017-05-26_22_25,8
2017-05-26_22_30,8
2017-05-26_22_35,8
2017-05-26_22_40,8
2017-05-26_22_45,7
2017-05-26_22_50,7
2017-05-26_22_55,7
