ID,Зареєстровано,Вулиця,Будинок,Уточнення,Тип питання,Тип підпитання,Аварійна ситуація,Виконавець,За видом,Пріоритет,Об'єкт,Характер робіт,Результат,Дата закриття,ID_str,str_name_new,x,y
383,01.10.2013 09:38,"Нечуя-Левицького, вулиця",12,,Каналізація,Течія мережі в підвальному приміщенні,ні,ЖЕК-15,Заява,Чергова,Будівля житлова (багатоквартирна),Прочищення трубопроводу,Вирішено позитивно,01.10.2013 11:01,583,вулиця Нечуя-Левицького,28.4840348022565,49.2524258294779
384,01.10.2013 10:09,"Свердлова, вулиця",168,особисто,Розрахунки за спожиті послуги,Відсутній єдиний рахунок,ні,ЦМСУ,Заява,Чергова,,Інформацію взято до уваги,Вирішено позитивно,09.10.2013 12:48,390,вулиця Князів Коріатовичів,28.458503741817694,49.2226982268237
385,01.10.2013 10:18,"Свердлова, вулиця",135,,Каналізація,Течія мережі по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 14:33,390,вулиця Князів Коріатовичів,28.461255895350103,49.2242777113365
386,01.10.2013 10:23,"Тімірязєва, вулиця",33,,Конструктивні елементи будинку,Протікання покрівлі,ні,ЖЕК-5,Заява,Чергова,Будівля житлова (багатоквартирна),Виконання робіт до . . . . .,Взято до відома,01.10.2013 14:01,791,вулиця Тімірязєва,28.4987967453857,49.2402940562578
387,01.10.2013 10:22,"Шевченка, вулиця",7,,Гаряче водопостачання,Низькі параметри гарячої води,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Виконання робіт до . . . . .,Надано роз'яснення,01.10.2013 12:48,906,вулиця Т.Шевченка,28.4382740523917,49.23019254934459
388,01.10.2013 10:21,"Маркса Карла, вулиця",10,,Теплопостачання,Підтоплення підвального приміщення будинку,ні,Бокуд,Скарга,Першочергова,Будівля житлова (багатоквартирна),Заявнику надані вичерпні роз’яснення,Надано роз'яснення,01.10.2013 13:49,913,вулиця М.Шимка,28.526266883937502,49.2467974405091
389,01.10.2013 10:26,"Бучми, вулиця",,,Транспортна система,Внесення змін до маршруту (продовження та ін.),ні,ВТК,Пропозиція,Чергова,"Автобус, в режимі маршрутного таксі",Інше,Надано роз'яснення,01.10.2013 11:20,98,вулиця Бучми,,
390,01.10.2013 10:28,"Дачна, вулиця",3,,Гаряче водопостачання,Відсутня вода по стояку,ні,ЖЕО,Скарга,Першочергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 14:54,238,вулиця Дачна,28.4386810843612,49.220307218697606
391,01.10.2013 10:37,"Кона Ф., вулиця",11,,Гаряче водопостачання,Відсутня вода по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 13:12,511,вулиця І.Миколайчука,28.44005417314149,49.2312653209527
392,01.10.2013 10:39,"Свердлова, вулиця",155,,Конструктивні елементи будинку,Протікання покрівлі,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Виконання робіт до . . . . .,Надано роз'яснення,01.10.2013 12:19,390,вулиця Князів Коріатовичів,28.458821688435698,49.2219878628907
393,01.10.2013 10:40,"Ватутіна, вулиця",56,,Холодне водопостачання,Відключення води для виконання робіт підприємством,ні,Бокуд,Заява,Чергова,Будівля житлова (багатоквартирна),Замінено ділянку трубопроводу,Вирішено позитивно,01.10.2013 15:11,102,вулиця Ватутіна,28.541840635036397,49.248514323861706
394,01.10.2013 10:18,"50-річчя Перемоги, вулиця",,,Діяльність підприємств сфери послуг,Інше,ні,ДАП,Скарга,Чергова,ні,ні,Надано роз'яснення,01.10.2013 10:43,297,вулиця Замостянська,,
395,01.10.2013 10:42,"Гладкова, вулиця",12,,Теплопостачання,Течія зовнішньої мережі,ні,ВМТЕ,Скарга,Першочергова,"108 мм, трубопровід сталевий в мінераловатній ізоляції",Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 14:54,187,вулиця Гладкова,28.518569754545396,49.224588975322284
396,01.10.2013 10:46,"Юності, проспект",36,,Конструктивні елементи будинку,Протікання покрівлі,ні,ЖЕК-12,Скарга,Чергова,Будівля житлова (багатоквартирна),Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 15:38,932,проспект Юності,28.4078447113065,49.2224989140866
397,01.10.2013 10:47,"Збишка, вулиця",15,,Озеленення (дерева та ін.),Інше,ні,ДЖГ,Скарга,Першочергова,ні,ні,Дано роз'яснення заявнику,13.11.2013 16:22,473,вулиця Д.Майбороди,28.438970088422998,49.2325844616175
398,01.10.2013 10:59,"Першотравнева, вулиця",80,,Гаряче водопостачання,Низькі параметри гарячої води,ні,ВМТЕ,Скарга,Першочергова,"ВМТЕ, ЦТП Гоголя, вулиця, № 6А",Інше,Вирішено позитивно,01.10.2013 19:25,470,вулиця Магістратська,28.46503386397369,49.237107242317705
399,01.10.2013 11:01,"Кона Ф., вулиця",11,,Гаряче водопостачання,Відсутня вода по стояку,ні,ЖЕО,Скарга,Першочергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 13:14,511,вулиця І.Миколайчука,28.44005417314149,49.2312653209527
400,01.10.2013 10:58,"Ватутіна, вулиця",56,,Гаряче водопостачання,Відключення води для виконання робіт підприємством,ні,Бокуд,Заява,Першочергова,Будівля житлова (багатоквартирна),Замінено ділянку трубопроводу,Вирішено позитивно,01.10.2013 12:47,102,вулиця Ватутіна,28.541840635036397,49.248514323861706
401,01.10.2013 11:04,"Ватутіна, вулиця",54,,Гаряче водопостачання,Течія мережі в квартирі,ні,Бокуд,Заява,Термінова,Будівля житлова (багатоквартирна),Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 13:36,102,вулиця Ватутіна,28.5410032705359,49.2488910043641
402,01.10.2013 10:59,"Кона Ф., вулиця",19,,Теплопостачання,Течія мережі по стояку,ні,ЖЕО,Заява,Термінова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 13:15,511,вулиця І.Миколайчука,28.4415458831975,49.2276666684491
403,01.10.2013 11:08,"600-річчя, вулиця",58,,Холодне водопостачання,Течія зовнішньої мережі,ні,Водоканал,Заява,Чергова,100 мм,Недолік усунено,Вирішено позитивно,01.10.2013 13:18,5,вулиця 600-річчя,28.4256516134056,49.2256560687016
404,01.10.2013 11:07,"Скалецького Р., вулиця",41,,Холодне водопостачання,Відсутня вода в будинку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 13:18,740,вулиця Р.Скалецького,28.4506460645131,49.22191470642471
405,01.10.2013 11:21,"Келецька, вулиця",39,,Гаряче водопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕО,Заява,Першочергова,Будівля житлова (багатоквартирна),Встановлено хомут,Вирішено позитивно,01.10.2013 17:05,353,вулиця Келецька,28.437411429825698,49.2253019680789
406,01.10.2013 11:23,"Тарногродського, вулиця",,На розі вул. Тарногродського - Липовецька (на з/з),Благоустрій,Розкопка для виконання аварійних робіт,ні,АТЦ,Заява,Чергова,,,Вирішено позитивно,16.10.2013 17:51,319,вулиця С.Зулінського,,
407,01.10.2013 11:16,"Порика Василя, вулиця",6,,Теплопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕК-6,Заява,Чергова,Будівля житлова (багатоквартирна),Заміна набивки сальників,Вирішено позитивно,01.10.2013 14:18,648,вулиця В.Порика,28.423636807887398,49.2296033997342
408,01.10.2013 11:31,"Маркса Карла, провулок",48,,Конструктивні елементи будинку,Інше,ні,Бокуд,Заява,Чергова,ні,ні,Вирішено позитивно,01.10.2013 15:40,42,вулиця О.Антонова,28.527976015876398,49.2350673897499
409,01.10.2013 11:12,"50-річчя Перемоги, вулиця",12,,Озеленення (дерева та ін.),Інше,ні,ДКГ та Б,Скарга,Першочергова,ні,,Надано роз'яснення,13.10.2013 18:54,297,вулиця Замостянська,28.492471555984203,49.2457501732553
410,01.10.2013 11:36,"Ратушної Л., вулиця",77,,Гаряче водопостачання,Відсутня вода по стояку,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 12:19,679,вулиця Л.Ратушної,28.4344026141892,49.22432834471721
411,01.10.2013 11:41,"Стахурського, вулиця",64,,Електропостачання,Відсутня електроенергія в квартирі,ні,ЖЕК-12,Заява,Чергова,ні,Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 13:19,47,вулиця Андрія Первозванного,28.4009591247756,49.2235998221618
412,01.10.2013 11:37,"Лисенка, вулиця",8,,Санітарне очищення,Не прибирається прибудинкова територія,ні,ЖЕО,Скарга,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 12:30,446,вулиця Лисенка,28.4858740290189,49.2388473995302
413,01.10.2013 11:38,"Затишна, вулиця",,,Транспортна система,Зупинка руху,ні,ВТК,Заява,Термінова,Трамвай,Несправність усунено,Вирішено позитивно,01.10.2013 11:46,256,вулиця Драй-Хмари,,
414,01.10.2013 11:37,"Володарського, вулиця",35,,Гаряче водопостачання,Затоплення оглядового колодязя ,ні,ВМТЕ,Скарга,Першочергова,Будівля житлова (багатоквартирна),Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 13:14,533,вулиця Монастирська,28.472052486954198,49.2306270737583
415,01.10.2013 11:47,"Дачна, вулиця",9,,Каналізація,Течія мережі в підвальному приміщенні,ні,ЖЕО,Скарга,Чергова,Будівля житлова (багатоквартирна),Недолік усунено,Вирішено позитивно,01.10.2013 14:18,238,вулиця Дачна,28.4351868949895,49.2216508584157
416,01.10.2013 11:54,"Кішки матроса, вулиця",59,,Гаряче водопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕО,Заява,Першочергова,Будівля житлова (багатоквартирна),Встановлено хомут,Вирішено позитивно,01.10.2013 12:52,491,вулиця Матроса Кішки,28.455465023392897,49.2234699911269
417,01.10.2013 11:51,"Ратушної Л., вулиця",20,,Гаряче водопостачання,Низькі параметри гарячої води,ні,ЖЕО,Заява,Чергова,Будівля житлова (багатоквартирна),Інше,Вирішено позитивно,01.10.2013 16:11,679,вулиця Л.Ратушної,28.4332095054548,49.2319157528277
418,01.10.2013 11:53,"Келецька, вулиця",84,магазин,Електропостачання,Відсутня електроенергія в будинку,ні,ЖЕК-6,Скарга,Термінова,ні,Проведено ремонтні роботи,Вирішено позитивно,01.10.2013 13:48,353,вулиця Келецька,28.4096896236696,49.22664191727621
419,01.10.2013 11:56,"Стеценка, вулиця",5,,Обслуговування ліфтів,Робота кнопки виклику ліфта,ні,Вінницяміськліфт,Заява,Чергова,Будівля житлова (багатоквартирна),Обстеження. Інформація не підтвердилась,Вирішено позитивно,01.10.2013 15:27,765,вулиця Стеценка,28.498482520156397,49.243498763630285
420,01.10.2013 12:00,"Маркса Карла, провулок",50,звернення з онлайн чату,Конструктивні елементи будинку,Протікання покрівлі,ні,Бокуд,Скарга,Чергова,Будівля житлова (багатоквартирна),Виконання робіт до . . . . .,Взято до відома,01.10.2013 13:13,42,вулиця О.Антонова,28.5272434567726,49.2333781312181
421,01.10.2013 12:06,"Пирогова, вулиця",85,старший по будинку,Теплопостачання,Течія мережі в підвальному приміщенні,ні,ЖЕО,Заява,Першочергова,Будівля житлова (багатоквартирна),Встановлено хомут,Вирішено позитивно,01.10.2013 18:17,625,вулиця Пирогова,28.4416449195618,49.221072838155784
422,01.10.2013 12:08,"Чайковського, вулиця",13,,Гаряче водопостачання,Низькі параметри гарячої води,ні,ЖЕК-15,Скарга,Першочергова,"ВМТЕ, котельня Паризької Комуни, вулиця, № 18",Інформацію взято до уваги,Вирішено позитивно,01.10.2013 13:30,871,вулиця Чайковського,28.472651162366,49.2488762765911
423,01.10.2013 12:12,"Сусідський, провулок",2,,Каналізація,Течія зовнішньої мережі,ні,Водоканал,Заява,Першочергова,100 мм,Прочищення трубопроводу,Вирішено позитивно,01.10.2013 17:38,775,провулок Сусідський,28.4533797365368,49.2049272009503
424,01.10.2013 12:14,"Заболотного, вулиця",5,,Газопостачання,Припинення газопостачання,ні,104,Заява,Чергова,Будівля житлова (багатокв.),,Вирішено позитивно,04.10.2013 15:52,288,вулиця Заболотного,28.440301081532606,49.2224570061125
425,01.10.2013 12:04,"50-річчя Перемоги, вулиця",,,Екстрена медична допомога,"Отруєння (алкоголь, лікарські засоби та ін.)",ні,103,Заява,Першочергова,Вулиця,"Доставлено в обласну клінічну лікарню ім. М.І. Пирогова, вул. Пирогова, 46",Вирішено позитивно,01.10.2013 12:20,297,вулиця Замостянська,,
426,01.10.2013 12:16,"Свердлова, вулиця",,,Холодне водопостачання,Течія зовнішньої мережі,ні,Водоканал,Заява,Першочергова,Інше,Інше,Вирішено позитивно,01.10.2013 13:31,390,вулиця Князів Коріатовичів,,
427,01.10.2013 12:20,"Володарського, вулиця",10,,Гаряче водопостачання,Витікання з оглядового колодязя,ні,ВМТЕ,Заява,Першочергова,"219 мм, трубопровід сталевий в мінераловатній ізоляції",Проведено зварювальні роботи,Вирішено позитивно,01.10.2013 14:49,533,вулиця Монастирська,28.473237703983397,49.2317672386716
