id,title,img,museum,Название,Место создания,lon,lat,Датировка,Номер ГИМ,Отдел/коллекция,Размер,"Материал, техника",Инвентарный номер,Номер ГК,Ключевые слова,"Автор, мастер/Изготовитель",Выставки,Персоналии,Комплект,Предметный классификатор,Формат,"Лист, страницы",Шифр ОПИ,Историческое событие,Язык
168475,"Муз. печ. 510. Мир с Богом человеку. Иннокентий Гизель, тип. лавры. 1669 (7177) г.",https://catalog.shm.ru/api/spf/JM2TGc2UUAT97uG46NzmcQNmpWXKPCHLsS-wj1zeogSZU_5bSCKNPpM270ovNZxn.jpg?w=1000&h=1000,shm,Мир с Богом человеку,Киев,50.451313,30.514711,1669,ГИМ 103432/252,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 510,28355512,Киев,"Иннокентий Гизель, тип. лавры",,,,Старопечатная книга,2°,,,,
152106,"Муз. печ. 523. Книга житий святых ..., сентябрь - ноябрь. Димитрий Ростовский (Туптало), тип. лавры. 1689 (7197)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTcLOP4j8QbyZ-pCv-ww4R-IcNwybQRkHKjcM35g08Iba.jpg?w=1000&h=1000,shm,"Книга житий святых ..., сентябрь - ноябрь",Киев,50.451313,30.514711,1689,ГИМ 103432/265,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 523,28354062,житие,"Димитрий Ростовский (Туптало), митрополит, тип. лавры",,,,Старопечатная книга,2°,,,,
153052,Муз. печ. 526. Устав о христианском житии. Почаевская тип. - [тип. Успенского м-ря]. 1783 г.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTRTitpT2gDTY7IQuLW0HlG7GQrDwawqSgtlZWhgCQTRF.jpg?w=1000&h=1000,shm,Устав о христианском житии,Почаев,,,1783,ГИМ 103432/268,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 526,28356959,Устав,Почаевская тип. - [тип. Успенского м-ря],,,,Старопечатная книга,4°,,,,
153083,"Муз. печ. 559. Новый Завет, тип. лавры. 3.I.1703 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTdg4yL5bvdsrrjRN0aMi5GuwNGdYo344QioYL2AU6C_N.jpg?w=1000&h=1000,shm,Новый Завет,Киев,50.451313,30.514711,1703,ГИМ 103432/299,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 559,28358565,Киев,тип. лавры,,,,Старопечатная книга,8°,,,,
153104,Муз. печ. 573. Пандекты. Никон Черногорец. Тип. Успенского монастыря. 1795 г.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTf3KEu-eIv8idLJtQ0PlFz20HGM5Leetzbo5KPssnSs_.jpg?w=1000&h=1000,shm,Пандекты,Почаев,,,1795,ГИМ 103432/313,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 573,28358537,пандекты,Никон Черногорец. Тип. Успенского монастыря,,,,Старопечатная книга,2°,,,,
168492,"Муз. печ. 222. Меч духовный. Лазарь Баранович, тип. лавры. 1666 г.",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTW8nOXWlP1_ALjRz6t4WoO1qQBqkm8xk3x4ZjWQ8cRXM.jpg?w=1000&h=1000,shm,Меч духовный,Киев,50.451313,30.514711,1666,ГИМ 103432/36,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 222,28355526,Киев,"Лазарь Баранович, тип. лавры",,,,Старопечатная книга,2°,,,,
153203,Муз. печ. 655. Пандекты. Никон Черногорец [тип. Успенского м-ря]. 1795 (7303),https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTZ6s0a3lYKY_oqr18CJ3SQY8MTQ-4MwEoU1csXQUV9b8.jpg?w=1000&h=1000,shm,Пандекты,Почаев,,,1795,ГИМ 103432/392,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 655,28355504,пандекты,Никон Черногорец [тип. Успенского м-ря],,,,Старопечатная книга,2°,,,,
168431,Муз. печ. 936. Требник дополнительный + Требник. Тип. Почаевской Успенской лавры. I.1869 г. +[1873] г.,https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTR6X9KOwvOreyq8776d57ZaEyKwhC4ClQSzn9p4r-6Q7.jpg?w=1000&h=1000,shm,Требник дополнительный + Требник,Почаев + [Почаев],,,1869,ГИМ 103432/4,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 936,30183675,,Тип. Почаевской Успенской лавры,,,,Кириллическая книга,8°,451 л.,,,
152130,"Муз. печ. 688. Пандекты. Никон Черногорец, тип. Успенского м-ря. 1795 г. (7303)",https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTRiHK8dW6MF6d0F5P-_WboqZf4r6kd8DZQsmtSs9-2q5.jpg?w=1000&h=1000,shm,Пандекты,Почаев,,,1795,ГИМ 103432/424,Рукописи и старопечатные книги/Старопечатные книги,"34,3х21,5х11,7 см","Бумага, типографская краска, типографская печать",Муз. печ. 688,28354028,пандекты,"Никон Черногорец, тип. Успенского м-ря",,,,Старопечатная книга,2°,,,,
153309,Муз. печ. 705. Канонник. Почаевская тип. - [тип. Ф. Карташева]. 1794 (7302),https://catalog.shm.ru/api/spf/OXRrxH-lU-E7JZwCzzNuTeIJK94toEiB4C-s_XBTmP218EBBq0MCXZ1gVM6ixQh9.jpg?w=1000&h=1000,shm,Канонник,Почаев,,,1794,ГИМ 103432/439,Рукописи и старопечатные книги/Старопечатные книги,,"Бумага, типографская краска, типографская печать",Муз. печ. 705,28355480,,Почаевская тип. - [тип. Ф. Карташева],,,,Старопечатная книга,4°,,,,
