position,name,week_start,person_type
8,Володимир Рогов,2022-08-22,russian
9,Марія Захарова,2022-08-22,russian
10,Емманюель Макрон,2022-08-22,enemy
1,Володимир Зеленський,2022-08-29,enemy
2,Володимир Путін,2022-08-29,russian
3,Михайло Горбачов,2022-08-29,russian
4,Олаф Шольц,2022-08-29,enemy
5,Рафаель Гроссі,2022-08-29,neutral
6,Джо Байден,2022-08-29,enemy
7,Дмитро Пєсков,2022-08-29,russian
8,Олександр та Дар'я Дугіни,2022-08-29,russian
9,Дональд Трамп,2022-08-29,friend
10,Жозеп Боррель,2022-08-29,enemy
1,Володимир Путін,2022-09-05,russian
2,Володимир Зеленський,2022-09-05,enemy
3,Володимир Рогов,2022-09-05,russian
4,Джо Байден,2022-09-05,enemy
5,Дмитро Пєсков,2022-09-05,russian
6,Елізабет Трасс,2022-09-05,enemy
7,Кирило Стремоусов,2022-09-05,russian
8,Жозеп Боррель,2022-09-05,enemy
9,Рафаель Гроссі,2022-09-05,neutral
10,Реджеп Ердоган,2022-09-05,friend
1,Володимир Путін,2022-09-12,russian
2,Володимир Зеленський,2022-09-12,enemy
3,Джо Байден,2022-09-12,enemy
4,Нікол Пашинян,2022-09-12,enemy
5,Дмитро Пєсков,2022-09-12,russian
6,Єлизавета II,2022-09-12,enemy
7,Реджеп Ердоган,2022-09-12,friend
8,Рамзан Кадиров,2022-09-12,russian
9,Урсула фон дер Ляйен,2022-09-12,enemy
10,Емманюель Макрон,2022-09-12,enemy
1,Володимир Путін,2022-09-19,russian
2,Володимир Зеленський,2022-09-19,enemy
3,Джо Байден,2022-09-19,enemy
4,Денис Пушилін,2022-09-19,russian
5,Сергій Шойгу,2022-09-19,russian
6,Леонід Пасічник,2022-09-19,russian
7,Володимир Рогов,2022-09-19,russian
8,Реджеп Ердоган,2022-09-19,friend
9,Сергій Лавров,2022-09-19,russian
10,Емманюель Макрон,2022-09-19,enemy
1,Володимир Путін,2022-09-26,russian
2,Володимир Зеленський,2022-09-26,enemy
3,Джо Байден,2022-09-26,enemy
4,Дмитро Пєсков,2022-09-26,russian
5,Реджеп Ердоган,2022-09-26,friend
6,Ентоні Блінкен,2022-09-26,enemy
7,Денис Пушилін,2022-09-26,russian
8,Іван Мезюхо,2022-09-26,russian
9,Марія Захарова,2022-09-26,russian
10,Леонід Пасічник,2022-09-26,russian
1,Володимир Путін,2022-10-03,russian
2,Володимир Зеленський,2022-10-03,enemy
3,Джо Байден,2022-10-03,enemy
4,Дмитро Пєсков,2022-10-03,russian
5,Ілон Маск,2022-10-03,friend
6,Марія Захарова,2022-10-03,russian
7,Дмитро Медведєв,2022-10-03,russian
8,Сергій Аксьонов,2022-10-03,russian
9,Рамзан Кадиров,2022-10-03,russian
10,Сергій Шойгу,2022-10-03,russian
1,Володимир Путін,2022-10-10,russian
2,Володимир Зеленський,2022-10-10,enemy
3,Джо Байден,2022-10-10,enemy
4,Ілон Маск,2022-10-10,friend
5,Дмитро Медведєв,2022-10-10,russian
6,Марія Захарова,2022-10-10,russian
7,Реджеп Ердоган,2022-10-10,friend
8,Дмитро Пєсков,2022-10-10,russian
9,Олаф Шольц,2022-10-10,enemy
10,Єнс Столтенберг,2022-10-10,enemy
1,Володимир Путін,2022-10-17,russian
2,Володимир Зеленський,2022-10-17,enemy
3,Джо Байден,2022-10-17,enemy
4,Сі Цзіньпін,2022-10-17,friend
5,Елізабет Трасс,2022-10-17,enemy
6,Кирило Стремоусов,2022-10-17,russian
7,Олексій Арестович,2022-10-17,enemy
8,Олександр Лукашенко,2022-10-17,friend
9,Сергій Суровікін,2022-10-17,russian
10,Ілон Маск,2022-10-17,friend
1,Володимир Путін,2022-10-24,russian
2,Володимир Зеленський,2022-10-24,enemy
3,Джо Байден,2022-10-24,enemy
4,Дмитро Пєсков,2022-10-24,russian
5,Ріші Сунак,2022-10-24,enemy
6,Сергій Шойгу,2022-10-24,russian
7,Сі Цзіньпін,2022-10-24,friend
8,Олаф Шольц,2022-10-24,enemy
9,Елізабет Трасс,2022-10-24,enemy
10,Рамзан Кадиров,2022-10-24,russian
1,Володимир Путін,2022-10-31,russian
2,Володимир Зеленський,2022-10-31,enemy
3,Реджеп Ердоган,2022-10-31,friend
4,Дмитро Пєсков,2022-10-31,russian
5,Джо Байден,2022-10-31,enemy
6,Олаф Шольц,2022-10-31,enemy
7,Сергій Шойгу,2022-10-31,russian
8,Елізабет Трасс,2022-10-31,enemy
9,Денис Пушилін,2022-10-31,russian
10,Марія Захарова,2022-10-31,russian
1,Володимир Путін,2022-11-07,russian
2,Володимир Зеленський,2022-11-07,enemy
3,Джо Байден,2022-11-07,enemy
4,Дмитро Пєсков,2022-11-07,russian
5,Сергій Шойгу,2022-11-07,russian
6,Кирило Стремоусов,2022-11-07,russian
7,Сергій Лавров,2022-11-07,russian
8,Дональд Трамп,2022-11-07,friend
9,Володимир Рогов,2022-11-07,russian
10,Сергій Суровікін,2022-11-07,russian
1,Володимир Зеленський,2022-11-14,enemy
2,Володимир Путін,2022-11-14,russian
3,Джо Байден,2022-11-14,enemy
4,Дмитро Пєсков,2022-11-14,russian
5,Сергій Лавров,2022-11-14,russian
6,Дональд Трамп,2022-11-14,friend
7,Сі Цзіньпін,2022-11-14,friend
8,Реджеп Ердоган,2022-11-14,friend
9,Анджей Дуда,2022-11-14,enemy
10,Емманюель Макрон,2022-11-14,enemy
1,Володимир Путін,2022-11-21,russian
2,Володимир Зеленський,2022-11-21,enemy
3,Дмитро Пєсков,2022-11-21,russian
4,Джо Байден,2022-11-21,enemy
5,Реджеп Ердоган,2022-11-21,friend
6,Денис Пушилін,2022-11-21,russian
7,Єнс Столтенберг,2022-11-21,enemy
8,Марія Захарова,2022-11-21,russian
