"Rank","Artist","URL","freq"
28,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
32,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
37,"Max Barskih","https://www.youtube.com/watch?v=MhlnhinCyD0",37
38,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
46,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
51,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
58,"Ani Lorak","https://www.youtube.com/watch?v=ht4Bd7moiMo",12
69,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
77,"NK","https://www.youtube.com/watch?v=TWTqs6sH2LU",37
79,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
7,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
8,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
9,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
17,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
22,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
23,"YARMAK","https://www.youtube.com/watch?v=v98xZn3KGQQ",8
24,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
28,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
32,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
52,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
57,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
58,"Olya Polyakova","https://www.youtube.com/watch?v=xRcj_SqWhE4",37
72,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
74,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
75,"Nensi","https://www.youtube.com/watch?v=7ECJcEyWWeg",5
76,"Ani Lorak","https://www.youtube.com/watch?v=ht4Bd7moiMo",12
81,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
90,"NK","https://www.youtube.com/watch?v=TWTqs6sH2LU",37
2,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
8,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
9,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
14,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
15,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
19,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
31,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
32,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
33,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
41,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
50,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
56,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
62,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
66,"YARMAK","https://www.youtube.com/watch?v=v98xZn3KGQQ",8
71,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
81,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
13,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
14,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
20,"Potap","https://www.youtube.com/watch?v=JCMSnjW1yXI",3
31,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
32,"MONATIK","https://www.youtube.com/watch?v=l0m3d6HJ18s",52
33,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
35,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
49,"Ani Lorak","https://www.youtube.com/watch?v=khdjE923dcc",12
52,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
53,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
63,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
68,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
83,"YARMAK","https://www.youtube.com/watch?v=v98xZn3KGQQ",8
4,"Oleh Kenzov","https://www.youtube.com/watch?v=zt-RliDPEg8",54
7,"Artik & Asti","https://www.youtube.com/watch?v=Jb1_hbjD8tQ",90
16,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
30,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
33,"Mozgi","https://www.youtube.com/watch?v=oVFwuyh6_XQ",34
36,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
40,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
55,"Potap","https://www.youtube.com/watch?v=JCMSnjW1yXI",3
64,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
73,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
84,"The Hardkiss","https://www.youtube.com/watch?v=ivroIGMAVig",22
86,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
92,"Olya Polyakova","https://www.youtube.com/watch?v=xWVKIwCKjWg",37
100,"Ani Lorak","https://www.youtube.com/watch?v=khdjE923dcc",12
16,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
20,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
23,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
24,"The Hardkiss","https://www.youtube.com/watch?v=ivroIGMAVig",22
34,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
52,"Mozgi","https://www.youtube.com/watch?v=oVFwuyh6_XQ",34
54,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
56,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
57,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
60,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
62,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
74,"Misha Marvin","https://www.youtube.com/watch?v=OQEfujHhtNw",37
79,"Artik & Asti","https://www.youtube.com/watch?v=tLYgwj0gAm0",90
90,"Potap","https://www.youtube.com/watch?v=JCMSnjW1yXI",3
100,"Max Barskih","https://www.youtube.com/watch?v=buQkpHOAsDk",37
6,"Dzidzio","https://www.youtube.com/watch?v=9ICZ_LCkKDY",22
15,"Artik & Asti","https://www.youtube.com/watch?v=EGTve67nArU",90
21,"NK","https://www.youtube.com/watch?v=17i3bKKI4M0",37
25,"Artik & Asti","https://www.youtube.com/watch?v=ptx7sPY0EeA",90
31,"Artik & Asti","https://www.youtube.com/watch?v=TmDVfe8XJ00",90
38,"Olya Polyakova","https://www.youtube.com/watch?v=ohmiaCSRtO8",37
39,"MONATIK","https://www.youtube.com/watch?v=i6VUQoen_GA",52
54,"Dzidzio","https://www.youtube.com/watch?v=cb-Y8AWYc64",22
59,"Vremya i Steklo","https://www.youtube.com/watch?v=q0rflM0rQTI",31
64,"Tina Karol","https://www.youtube.com/watch?v=uUYNCeYOqus",17
65,"Oleh Kenzov","https://www.youtube.com/watch?v=YkItnbwx1eo",54
68,"Mozgi","https://www.youtube.com/watch?v=3Zt3Jz1V_o4",34
72,"Mozgi","https://www.youtube.com/watch?v=oVFwuyh6_XQ",34
79,"The Hardkiss","https://www.youtube.com/watch?v=ivroIGMAVig",22
