"num","edrpou","name","name_short","link","sales_2019","profit_2019","sales_2018","profit_2018","difference","status","reg_date","kved","gov_share","fpg","percent_19","group","dir_2019_change","fillColor"
55,"19389809","ДЕРЖАВНЕ ПІДПРИЄМСТВО ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""КАРПАТИ""","ДП ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""КАРПАТИ""","https://youcontrol.com.ua/search/?q=19389809",729.9,1.9,"559.9",22.8,-20.9,"noStop","1993-09-13","29.31 Виробництво електричного й електронного устатковання для автотранспортних засобів","NULL","-",-91.6666666666667,"1",0,"red"
56,"14313866","КАЗЕННЕ ПІДПРИЄМСТВО ""НАУКОВО-ВИРОБНИЧИЙ КОМПЛЕКС ""ІСКРА""","КП НВК ""ІСКРА""","https://youcontrol.com.ua/search/?q=14313866",711,-39.5,"1407.6",61,-100.5,"noStop","2003-12-31","26.51 Виробництво інструментів і обладнання для вимірювання, дослідження та навігації","NULL","-",-164.754098360656,"1",0,"red"
57,"1056273","ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЗАПОРІЗЬКИЙ ЕЛЕКТРОВОЗОРЕМОНТНИЙ ЗАВОД""","ПАТ ""ЗАПОРІЗЬКИЙ ЕЛЕКТРОВОЗОРЕМОНТНИЙ ЗАВОД""","https://youcontrol.com.ua/search/?q=1056273",698.4,0.2,"615",0.5,-0.3,"noStop","2001-04-28","33.17 Ремонт і технічне обслуговування інших транспортних засобів","100","-",-60,"1",0,"red"
58,"1181765","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР РАДІОЧАСТОТ""","ДП ""УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ЦЕНТР РАДІОЧАСТОТ""","https://youcontrol.com.ua/search/?q=1181765",653.4,1.7,"608.7",44.8,-43.1,"noStop","2000-02-03","61.10 Діяльність у сфері проводового електрозв'язку","NULL","-",-96.2053571428571,"1",0,"red"
59,"7684556","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ АВІАЦІЙНО-РЕМОНТНИЙ ЗАВОД""","ДП ""ЛЬВІВСЬКИЙ ДЕРЖАВНИЙ АВІАЦІЙНО-РЕМОНТНИЙ ЗАВОД""","https://youcontrol.com.ua/search/?q=7684556",652.6,34.3,"619.9",55.9,-21.6,"noStop","1998-04-23","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",-38.6404293381038,"1",0,"red"
60,"34032208","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ШАХТОУПРАВЛІННЯ ""ПІВДЕННОДОНБАСЬКЕ №1""","ДП ""ШАХТОУПРАВЛІННЯ ""ПІВДЕННОДОНБАСЬКЕ №1""","https://youcontrol.com.ua/search/?q=34032208",606.7,-43.1,"607.8",-5.5,-37.6,"noStop","2006-04-10","05.10 Добування кам'яного вугілля","NULL","-",-683.636363636364,"2",0,"red"
61,"1128297","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД 410 ЦА""","ДП ""ЗАВОД 410 ЦА""","https://youcontrol.com.ua/search/?q=1128297",602.3,0.3,"621.5",84,-83.7,"noStop","1993-05-18","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",-99.6428571428572,"1",1,"red"
62,"33073442","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МІЖНАРОДНИЙ АЕРОПОРТ ""ЛЬВІВ"" ІМЕНІ ДАНИЛА ГАЛИЦЬКОГО""","""МІЖНАРОДНИЙ АЕРОПОРТ ""ЛЬВІВ"" ","https://youcontrol.com.ua/search/?q=33073442",597,104.7,"523",127.8,-23.1,"noStop","2004-07-19","52.23 Допоміжне обслуговування авіаційного транспорту","NULL","-",-18.075117370892,"1",0,"red"
63,"14315629","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД ІМЕНІ В.О.МАЛИШЕВА""","ДП ""ЗАВОД ім. В.О.МАЛИШЕВА""","https://youcontrol.com.ua/search/?q=14315629",587.4,-420.8,"2530.1",494.5,-915.3,"vgsu","1993-03-03","30.40 Виробництво військових транспортних засобів","NULL","-",-185.096056622851,"1",1,"red"
64,"1190043","КОНЦЕРН РАДІОМОВЛЕННЯ, РАДІОЗВ'ЯЗКУ ТА ТЕЛЕБАЧЕННЯ","КОНЦЕРН РАДІОМОВЛЕННЯ, РАДІОЗВ'ЯЗКУ ТА ТЕЛЕБАЧЕННЯ","https://youcontrol.com.ua/search/?q=1190043",579.6,0.1,"653",11.2,-11.1,"noStop","1992-02-12","61.20 Діяльність у сфері безпроводового електрозв'язку","NULL","-",-99.1071428571429,"1",1,"red"
65,"14307699","ДАХК ""АРТЕМ""","ДАХК ""АРТЕМ""","https://youcontrol.com.ua/search/?q=14307699",577.8,2,"669.3",10.2,-8.2,"noStop","1991-12-27","25.40 Виробництво зброї та боєприпасів","100","-",-80.3921568627451,"1",1,"red"
66,"21552117","ДОЧІРНЄ ПІДПРИЄМСТВО ДЕРЖАВНОЇ КОМПАНІЇ ""УКРСПЕЦЕКСПОРТ""-ДЕРЖАВНЕ ПІДПРИЄМСТВО ""УКРОБОРОНСЕРВІС""","ДП ""УКРОБОРОНСЕРВІС""","https://youcontrol.com.ua/search/?q=21552117",576.8,0,"585.7",20.8,-20.8,"noStop","1994-06-17","46.18 Діяльність посередників, що спеціалізуються в торгівлі іншими товарами","NULL","-",-100,"1",1,"red"
67,"1125815","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ІЗМАЇЛЬСЬКИЙ МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ""","ДП ""ІЗМАЇЛЬСЬКИЙ МОРСЬКИЙ ТОРГОВЕЛЬНИЙ ПОРТ""","https://youcontrol.com.ua/search/?q=1125815",536.5,20.3,"586.1",41.7,-21.4,"noStop","1995-06-13","52.22 Допоміжне обслуговування водного транспорту","NULL","-",-51.3189448441247,"1",0,"red"
68,"14310052","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ХАРКІВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД ""ФЕД""","ДП ""ХАРКІВСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД ""ФЕД""","https://youcontrol.com.ua/search/?q=14310052",532.6,49.2,"483.2",39.7,9.5,"noStop","1991-12-27","30.30 Виробництво повітряних і космічних літальних апаратів, супутнього устатковання","NULL","-",23.9294710327456,"1",0,"green"
